INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,WEB_MENU_CD,TITLE_BAR_ID,MENU_BAR_ID,DISPLAY_ORDER,CODE,MENU_CLS,SYSTEM
,,,,,,,,0,"000000000000","000000000000-0000","000","fe0a5bf8-ed1d-4095-b650-6da7abdcad86","6810ec80-228c-42bc-96e1-86f263397134",1,"0001",0,0
,,,,,,,,0,"000000000000","000000000000-0000","000","fe0a5bf8-ed1d-4095-b650-6da7abdcad86","6810ec80-228c-42bc-96e1-86f263397134",2,"0034",0,0
,,,,,,,,0,"000000000000","000000000000-0000","000","fe0a5bf8-ed1d-4095-b650-6da7abdcad86","6810ec80-228c-42bc-96e1-86f263397134",3,"0010",0,0
,,,,,,,,0,"000000000000","000000000000-0000","000","fe0a5bf8-ed1d-4095-b650-6da7abdcad86","6810ec80-228c-42bc-96e1-86f263397134",4,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","000","fe0a5bf8-ed1d-4095-b650-6da7abdcad86","6810ec80-228c-42bc-96e1-86f263397134",5,"0017",0,0
,,,,,,,,0,"000000000000","000000000000-0000","000","fe0a5bf8-ed1d-4095-b650-6da7abdcad86","6810ec80-228c-42bc-96e1-86f263397134",6,"0018",0,0
,,,,,,,,0,"000000000000","000000000000-0000","000","fe0a5bf8-ed1d-4095-b650-6da7abdcad86","6810ec80-228c-42bc-96e1-86f263397134",7,"0023",0,0
,,,,,,,,0,"000000000000","000000000000-0000","000","fe0a5bf8-ed1d-4095-b650-6da7abdcad86","6810ec80-228c-42bc-96e1-86f263397134",8,"0024",0,0
,,,,,,,,0,"000000000000","000000000000-0000","000","fe0a5bf8-ed1d-4095-b650-6da7abdcad86","6810ec80-228c-42bc-96e1-86f263397134",9,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","000","fe0a5bf8-ed1d-4095-b650-6da7abdcad86","6810ec80-228c-42bc-96e1-86f263397134",10,"0031",0,0
,,,,,,,,0,"000000000000","000000000000-0000","000","fe0a5bf8-ed1d-4095-b650-6da7abdcad86","6810ec80-228c-42bc-96e1-86f263397134",11,"0032",0,0
,,,,,,,,0,"000000000000","000000000000-0000","000","fe0a5bf8-ed1d-4095-b650-6da7abdcad86","6810ec80-228c-42bc-96e1-86f263397134",12,"0069",0,0
,,,,,,,,0,"000000000000","000000000000-0000","001","b9b7095f-4590-44bb-84f2-2d4be665d810","df02dbc2-fded-4729-a4dc-5e7595a018b3",1,"0034",0,0
,,,,,,,,0,"000000000000","000000000000-0000","001","b9b7095f-4590-44bb-84f2-2d4be665d810","df02dbc2-fded-4729-a4dc-5e7595a018b3",2,"0089",0,0
,,,,,,,,0,"000000000000","000000000000-0000","001","b9b7095f-4590-44bb-84f2-2d4be665d810","df02dbc2-fded-4729-a4dc-5e7595a018b3",3,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","001","b9b7095f-4590-44bb-84f2-2d4be665d810","df02dbc2-fded-4729-a4dc-5e7595a018b3",4,"0027",0,0
,,,,,,,,0,"000000000000","000000000000-0000","001","b9b7095f-4590-44bb-84f2-2d4be665d810","df02dbc2-fded-4729-a4dc-5e7595a018b3",5,"0007",0,0
,,,,,,,,0,"000000000000","000000000000-0000","001","b9b7095f-4590-44bb-84f2-2d4be665d810","df02dbc2-fded-4729-a4dc-5e7595a018b3",6,"0008",0,0
,,,,,,,,0,"000000000000","000000000000-0000","001","b9b7095f-4590-44bb-84f2-2d4be665d810","df02dbc2-fded-4729-a4dc-5e7595a018b3",7,"0011",0,0
,,,,,,,,0,"000000000000","000000000000-0000","001","b9b7095f-4590-44bb-84f2-2d4be665d810","df02dbc2-fded-4729-a4dc-5e7595a018b3",8,"0000",0,0
,,,,,,,,0,"000000000000","000000000000-0000","001","b9b7095f-4590-44bb-84f2-2d4be665d810","df02dbc2-fded-4729-a4dc-5e7595a018b3",9,"0009",0,0
,,,,,,,,0,"000000000000","000000000000-0000","001","b9b7095f-4590-44bb-84f2-2d4be665d810","df02dbc2-fded-4729-a4dc-5e7595a018b3",10,"0012",0,0
,,,,,,,,0,"000000000000","000000000000-0000","001","0efb9141-554a-4ae0-9a66-464cbcf58e53","df02dbc2-fded-4729-a4dc-5e7595a018b3",1,"0019",0,0
,,,,,,,,0,"000000000000","000000000000-0000","001","0efb9141-554a-4ae0-9a66-464cbcf58e53","df02dbc2-fded-4729-a4dc-5e7595a018b3",2,"0020",0,0
,,,,,,,,0,"000000000000","000000000000-0000","001","41e9027c-4356-4f01-874f-91d5df72ad5d","df02dbc2-fded-4729-a4dc-5e7595a018b3",1,"0057",0,0
