INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,SYSTEM,MENU_CLS,CODE,MENU_ATR,TARGET_ITEMS,DISPLAY_NAME,DISPLAY_ORDER,PROGRAM_ID,SCREEN_ID,QUERY_STRING,URL,WEB_MENU_SETTING,AFTER_LOGIN_DISPLAY,LOG_LOGIN_DISPLAY,LOG_START_DISPLAY,LOG_UPDATE_DISPLAY
,,,,,,,,0,"000000000000","000000000000-0000",0,0,"0000",1,"区切り線","区切り線",0,"000000","A","","-",1,0,0,0,0
,,,,,,,,0,"000000000000","000000000000-0000",0,0,"0025",0,"トップページの設定","トップページの設定",1,"CCG015","A","","/nts.uk.com.web/view/ccg/015/a/index.xhtml",1,0,0,1,0
,,,,,,,,0,"000000000000","000000000000-0000",0,0,"0282",0,"ログインの設定","ログインの設定",2,"CMM052","A","","/nts.uk.com.web/view/cmm/052/a/index.xhtml",0,0,0,1,0
,,,,,,,,0,"000000000000","000000000000-0000",0,0,"0286",0,"SAMLの設定","SAMLの設定",3,"CMM004","A","","/nts.uk.com.web/view/cmm/004/a/index.xhtml",0,0,0,1,0
,,,,,,,,0,"000000000000","000000000000-0000",0,0,"0274",0,"機能の選択","機能の選択",4,"CMM029","A","","/nts.uk.com.web/view/cmm/029/a/index.xhtml",1,0,0,1,0
,,,,,,,,0,"000000000000","000000000000-0000",0,0,"0001",0,"会社情報の登録","会社情報の登録",5,"CMM001","A","","/nts.uk.com.web/view/cmm/001/a/index.xhtml",0,0,0,1,0
,,,,,,,,0,"000000000000","000000000000-0000",0,0,"0002",0,"雇用情報の登録","雇用情報の登録",6,"CMM008","A","","/nts.uk.com.web/view/cmm/008/a/index.xhtml",1,0,0,1,0
,,,,,,,,0,"000000000000","000000000000-0000",0,0,"0003",0,"分類情報の登録","分類情報の登録",7,"CMM014","A","","/nts.uk.com.web/view/cmm/014/a/index.xhtml",1,0,0,1,0
,,,,,,,,0,"000000000000","000000000000-0000",0,0,"0004",0,"職位情報の登録","職位情報の登録",8,"CMM013","A","","/nts.uk.com.web/view/cmm/013/a/index.xhtml",1,0,0,1,0
,,,,,,,,0,"000000000000","000000000000-0000",0,0,"0091",0,"部門情報の登録","部門情報の登録",9,"CMM011","A","initmode=1","/nts.uk.com.web/view/cmm/011/a/index.xhtml",0,0,1,1,1
,,,,,,,,0,"000000000000","000000000000-0000",0,0,"0005",0,"職場情報の登録","職場情報の登録",10,"CMM011","A","initmode=0","/nts.uk.com.web/view/cmm/011/a/index.xhtml",1,0,0,1,0
,,,,,,,,0,"000000000000","000000000000-0000",0,0,"0007",0,"ロールの登録(就業)","ロールの登録(就業)",11,"CAS005","A","","/nts.uk.com.web/view/cas/005/a/index.xhtml",0,0,0,1,0
,,,,,,,,0,"000000000000","000000000000-0000",0,0,"0030",0,"職場管理者の登録","職場管理者の登録",12,"CMM051","A","","/nts.uk.com.web/view/cmm/051/a/index.xhtml",1,0,0,1,0
,,,,,,,,0,"000000000000","000000000000-0000",0,0,"0006",0,"名称の設定","名称の設定",13,"CMM007","A","","/nts.uk.com.web/view/cmm/007/a/index.xhtml",1,0,0,1,0
,,,,,,,,0,"000000000000","000000000000-0000",0,0,"0008",0,"ロールの登録(個人情報)","ロールの登録(個人情報)",14,"CAS009","A","","/nts.uk.com.web/view/cas/009/a/index.xhtml",0,0,0,1,0
,,,,,,,,0,"000000000000","000000000000-0000",0,0,"0009",0,"ロールセットの登録","ロールセットの登録",15,"CAS011","A","","/nts.uk.com.web/view/cas/011/a/index.xhtml",0,0,0,1,0
,,,,,,,,0,"000000000000","000000000000-0000",0,0,"0010",0,"管理者ロールの付与","管理者ロールの付与",16,"CAS012","A","","/nts.uk.com.web/view/cas/012/a/index.xhtml",0,0,0,1,0
